Machine = 5,Job = 5,Task = 12,Ant = 50,
Sedai , Best ,, Bad , Average 
0 , 55.0 , 83.0 , 67.24 , 
1 , 54.0 , 85.0 , 66.46 , 
2 , 57.0 , 78.0 , 65.72 , 
3 , 54.0 , 76.0 , 63.7 , 
4 , 54.0 , 75.0 , 64.48 , 
5 , 52.0 , 74.0 , 63.62 , 
6 , 56.0 , 80.0 , 65.48 , 
7 , 53.0 , 73.0 , 63.38 , 
8 , 54.0 , 73.0 , 63.14 , 
9 , 52.0 , 75.0 , 63.22 , 
10 , 54.0 , 75.0 , 63.96 , 
11 , 50.0 , 78.0 , 64.24 , 
12 , 52.0 , 76.0 , 63.46 , 
13 , 55.0 , 76.0 , 63.34 , 
14 , 53.0 , 76.0 , 64.56 , 
15 , 55.0 , 81.0 , 64.18 , 
16 , 51.0 , 78.0 , 62.5 , 
17 , 53.0 , 73.0 , 61.62 , 
18 , 53.0 , 79.0 , 62.6 , 
19 , 48.0 , 74.0 , 62.12 , 
20 , 50.0 , 74.0 , 61.28 , 
21 , 53.0 , 73.0 , 62.46 , 
22 , 51.0 , 77.0 , 61.28 , 
23 , 52.0 , 74.0 , 61.54 , 
24 , 52.0 , 71.0 , 62.28 , 
25 , 51.0 , 68.0 , 60.3 , 
26 , 51.0 , 72.0 , 60.92 , 
27 , 48.0 , 70.0 , 60.22 , 
28 , 51.0 , 76.0 , 60.32 , 
29 , 51.0 , 73.0 , 60.2 , 
30 , 51.0 , 82.0 , 61.12 , 
31 , 50.0 , 72.0 , 59.58 , 
32 , 50.0 , 73.0 , 59.72 , 
33 , 52.0 , 70.0 , 60.08 , 
34 , 52.0 , 69.0 , 60.16 , 
35 , 51.0 , 71.0 , 59.28 , 
36 , 47.0 , 69.0 , 59.6 , 
37 , 50.0 , 72.0 , 59.86 , 
38 , 50.0 , 70.0 , 59.2 , 
39 , 52.0 , 69.0 , 58.52 , 
40 , 49.0 , 70.0 , 59.72 , 
41 , 50.0 , 76.0 , 60.6 , 
42 , 52.0 , 70.0 , 60.8 , 
43 , 52.0 , 71.0 , 59.06 , 
44 , 51.0 , 78.0 , 59.34 , 
45 , 50.0 , 70.0 , 59.4 , 
46 , 51.0 , 74.0 , 59.7 , 
47 , 52.0 , 73.0 , 59.48 , 
48 , 50.0 , 71.0 , 57.96 , 
49 , 51.0 , 69.0 , 58.94 , 
50 , 48.0 , 70.0 , 59.36 , 
51 , 50.0 , 72.0 , 58.66 , 
52 , 48.0 , 74.0 , 58.42 , 
53 , 51.0 , 70.0 , 58.18 , 
54 , 49.0 , 71.0 , 58.38 , 
55 , 48.0 , 77.0 , 57.0 , 
56 , 50.0 , 70.0 , 58.2 , 
57 , 49.0 , 71.0 , 58.16 , 
58 , 50.0 , 65.0 , 57.96 , 
59 , 49.0 , 68.0 , 58.14 , 
60 , 50.0 , 66.0 , 57.54 , 
61 , 50.0 , 69.0 , 57.08 , 
62 , 50.0 , 69.0 , 56.98 , 
63 , 49.0 , 67.0 , 57.94 , 
64 , 49.0 , 68.0 , 57.78 , 
65 , 50.0 , 65.0 , 58.28 , 
66 , 50.0 , 67.0 , 57.64 , 
67 , 51.0 , 72.0 , 57.84 , 
68 , 51.0 , 69.0 , 57.74 , 
69 , 51.0 , 68.0 , 58.5 , 
70 , 48.0 , 67.0 , 57.24 , 
71 , 50.0 , 65.0 , 57.5 , 
72 , 50.0 , 67.0 , 58.1 , 
73 , 49.0 , 66.0 , 57.4 , 
74 , 50.0 , 66.0 , 56.94 , 
75 , 47.0 , 64.0 , 56.12 , 
76 , 50.0 , 68.0 , 57.5 , 
77 , 47.0 , 65.0 , 56.96 , 
78 , 50.0 , 72.0 , 56.66 , 
79 , 49.0 , 67.0 , 56.82 , 
80 , 50.0 , 71.0 , 57.88 , 
81 , 47.0 , 65.0 , 56.72 , 
82 , 48.0 , 68.0 , 56.86 , 
83 , 49.0 , 69.0 , 57.98 , 
84 , 49.0 , 74.0 , 57.48 , 
85 , 49.0 , 65.0 , 56.08 , 
86 , 48.0 , 67.0 , 57.46 , 
87 , 47.0 , 64.0 , 56.42 , 
88 , 48.0 , 70.0 , 57.42 , 
89 , 47.0 , 63.0 , 56.78 , 
90 , 48.0 , 67.0 , 57.94 , 
91 , 50.0 , 67.0 , 56.94 , 
92 , 47.0 , 67.0 , 56.24 , 
93 , 48.0 , 66.0 , 56.4 , 
94 , 48.0 , 69.0 , 56.66 , 
95 , 48.0 , 63.0 , 56.3 , 
96 , 50.0 , 66.0 , 56.94 , 
97 , 50.0 , 65.0 , 55.96 , 
98 , 47.0 , 69.0 , 55.96 , 
99 , 48.0 , 64.0 , 56.56 , 
100 , 50.0 , 67.0 , 56.6 , 
101 , 49.0 , 65.0 , 56.82 , 
102 , 48.0 , 65.0 , 56.44 , 
103 , 51.0 , 65.0 , 57.08 , 
104 , 49.0 , 64.0 , 57.16 , 
105 , 49.0 , 65.0 , 55.92 , 
106 , 47.0 , 66.0 , 56.42 , 
107 , 49.0 , 67.0 , 56.86 , 
108 , 48.0 , 64.0 , 55.92 , 
109 , 48.0 , 66.0 , 56.5 , 
110 , 48.0 , 67.0 , 55.88 , 
111 , 49.0 , 70.0 , 56.08 , 
112 , 49.0 , 66.0 , 56.3 , 
113 , 48.0 , 68.0 , 56.22 , 
114 , 49.0 , 64.0 , 55.3 , 
115 , 48.0 , 65.0 , 55.64 , 
116 , 48.0 , 65.0 , 56.2 , 
117 , 48.0 , 66.0 , 55.72 , 
118 , 47.0 , 63.0 , 56.14 , 
119 , 48.0 , 68.0 , 56.1 , 
120 , 48.0 , 67.0 , 56.4 , 
121 , 49.0 , 65.0 , 55.56 , 
