Machine = 5,Job = 5,Task = 12,Ant = 50,
Sedai , Best ,, Bad , Average 
0 , 57.0 , 87.0 , 71.28 , 
1 , 53.0 , 86.0 , 68.46 , 
2 , 54.0 , 85.0 , 67.94 , 
3 , 60.0 , 81.0 , 68.16 , 
4 , 58.0 , 81.0 , 68.38 , 
5 , 50.0 , 82.0 , 69.16 , 
6 , 55.0 , 82.0 , 68.98 , 
7 , 53.0 , 79.0 , 67.46 , 
8 , 57.0 , 89.0 , 69.16 , 
9 , 56.0 , 83.0 , 69.04 , 
10 , 51.0 , 79.0 , 67.84 , 
11 , 55.0 , 81.0 , 67.0 , 
12 , 56.0 , 77.0 , 68.14 , 
13 , 53.0 , 83.0 , 66.54 , 
14 , 58.0 , 83.0 , 66.68 , 
15 , 56.0 , 83.0 , 66.56 , 
16 , 57.0 , 79.0 , 66.74 , 
17 , 55.0 , 79.0 , 66.3 , 
18 , 51.0 , 76.0 , 64.72 , 
19 , 55.0 , 82.0 , 66.38 , 
20 , 53.0 , 82.0 , 66.3 , 
21 , 53.0 , 78.0 , 64.3 , 
22 , 52.0 , 79.0 , 66.0 , 
23 , 54.0 , 79.0 , 66.12 , 
24 , 53.0 , 77.0 , 63.62 , 
25 , 49.0 , 81.0 , 66.04 , 
26 , 55.0 , 80.0 , 66.8 , 
27 , 56.0 , 76.0 , 64.54 , 
28 , 51.0 , 79.0 , 64.24 , 
29 , 56.0 , 76.0 , 64.28 , 
30 , 47.0 , 77.0 , 63.58 , 
31 , 51.0 , 80.0 , 63.08 , 
32 , 52.0 , 80.0 , 64.72 , 
33 , 54.0 , 75.0 , 63.14 , 
34 , 52.0 , 77.0 , 62.68 , 
35 , 51.0 , 76.0 , 64.06 , 
36 , 51.0 , 79.0 , 63.32 , 
37 , 52.0 , 76.0 , 62.88 , 
38 , 53.0 , 77.0 , 63.14 , 
39 , 50.0 , 79.0 , 63.1 , 
40 , 54.0 , 75.0 , 63.6 , 
41 , 52.0 , 75.0 , 62.14 , 
42 , 51.0 , 81.0 , 62.88 , 
43 , 51.0 , 71.0 , 60.78 , 
44 , 51.0 , 77.0 , 61.8 , 
45 , 51.0 , 76.0 , 62.0 , 
46 , 51.0 , 73.0 , 61.36 , 
47 , 47.0 , 75.0 , 60.8 , 
48 , 50.0 , 77.0 , 61.92 , 
49 , 49.0 , 81.0 , 61.86 , 
50 , 51.0 , 72.0 , 61.26 , 
51 , 49.0 , 71.0 , 61.08 , 
52 , 53.0 , 71.0 , 60.7 , 
53 , 49.0 , 76.0 , 59.96 , 
54 , 49.0 , 71.0 , 59.04 , 
55 , 50.0 , 71.0 , 60.64 , 
56 , 50.0 , 73.0 , 60.14 , 
57 , 50.0 , 73.0 , 60.04 , 
58 , 51.0 , 75.0 , 59.2 , 
59 , 49.0 , 73.0 , 60.14 , 
60 , 48.0 , 72.0 , 58.94 , 
61 , 47.0 , 73.0 , 59.08 , 
62 , 48.0 , 69.0 , 58.78 , 
63 , 50.0 , 72.0 , 59.64 , 
64 , 49.0 , 78.0 , 59.6 , 
65 , 48.0 , 73.0 , 59.68 , 
66 , 48.0 , 71.0 , 59.5 , 
67 , 50.0 , 78.0 , 59.1 , 
68 , 47.0 , 70.0 , 59.26 , 
69 , 48.0 , 71.0 , 60.0 , 
70 , 49.0 , 73.0 , 58.82 , 
71 , 49.0 , 71.0 , 58.72 , 
72 , 44.0 , 67.0 , 57.74 , 
73 , 50.0 , 69.0 , 58.18 , 
74 , 49.0 , 75.0 , 57.94 , 
75 , 50.0 , 71.0 , 59.34 , 
76 , 48.0 , 71.0 , 58.46 , 
77 , 49.0 , 68.0 , 57.92 , 
78 , 49.0 , 69.0 , 57.86 , 
79 , 48.0 , 68.0 , 57.18 , 
80 , 46.0 , 77.0 , 58.6 , 
81 , 50.0 , 72.0 , 57.62 , 
82 , 52.0 , 68.0 , 58.52 , 
83 , 47.0 , 67.0 , 57.12 , 
84 , 50.0 , 70.0 , 57.6 , 
85 , 47.0 , 69.0 , 57.1 , 
86 , 49.0 , 67.0 , 57.64 , 
87 , 47.0 , 69.0 , 56.74 , 
88 , 46.0 , 65.0 , 56.9 , 
89 , 48.0 , 69.0 , 57.08 , 
90 , 49.0 , 69.0 , 57.04 , 
91 , 51.0 , 66.0 , 57.74 , 
92 , 49.0 , 68.0 , 56.78 , 
93 , 44.0 , 71.0 , 56.96 , 
94 , 47.0 , 66.0 , 57.38 , 
95 , 47.0 , 67.0 , 56.58 , 
96 , 49.0 , 68.0 , 56.44 , 
97 , 47.0 , 69.0 , 55.92 , 
98 , 49.0 , 66.0 , 56.72 , 
99 , 48.0 , 69.0 , 57.3 , 
100 , 48.0 , 66.0 , 55.62 , 
101 , 48.0 , 69.0 , 55.58 , 
102 , 46.0 , 67.0 , 54.3 , 
103 , 49.0 , 65.0 , 55.88 , 
104 , 46.0 , 67.0 , 56.16 , 
105 , 47.0 , 64.0 , 55.9 , 
106 , 48.0 , 63.0 , 55.12 , 
107 , 48.0 , 64.0 , 55.64 , 
108 , 48.0 , 62.0 , 55.96 , 
109 , 47.0 , 67.0 , 57.12 , 
110 , 49.0 , 65.0 , 56.06 , 
111 , 48.0 , 63.0 , 55.4 , 
112 , 48.0 , 69.0 , 56.36 , 
113 , 49.0 , 66.0 , 55.7 , 
114 , 46.0 , 67.0 , 56.7 , 
115 , 48.0 , 64.0 , 55.78 , 
116 , 47.0 , 66.0 , 56.64 , 
117 , 46.0 , 65.0 , 55.8 , 
