Machine = 10,Job = 5,Task = 60,Ant = 50,
Sedai , Best , Bad , Average 
0 , 73.0 , 118.0 , 93.48 , 
1 , 78.0 , 112.0 , 92.08 , 
2 , 72.0 , 113.0 , 92.18 , 
3 , 74.0 , 108.0 , 87.62 , 
4 , 75.0 , 106.0 , 90.84 , 
5 , 77.0 , 110.0 , 91.46 , 
6 , 69.0 , 110.0 , 88.22 , 
7 , 71.0 , 109.0 , 90.12 , 
8 , 71.0 , 103.0 , 89.1 , 
9 , 74.0 , 108.0 , 88.14 , 
10 , 68.0 , 107.0 , 87.92 , 
11 , 71.0 , 106.0 , 86.5 , 
12 , 66.0 , 107.0 , 87.34 , 
13 , 69.0 , 104.0 , 84.98 , 
14 , 69.0 , 102.0 , 87.1 , 
15 , 63.0 , 117.0 , 87.62 , 
16 , 72.0 , 109.0 , 87.16 , 
17 , 73.0 , 106.0 , 85.2 , 
18 , 71.0 , 110.0 , 85.66 , 
19 , 70.0 , 106.0 , 85.82 , 
20 , 67.0 , 102.0 , 84.86 , 
21 , 71.0 , 98.0 , 85.82 , 
22 , 72.0 , 103.0 , 85.44 , 
23 , 69.0 , 105.0 , 83.06 , 
24 , 64.0 , 100.0 , 83.48 , 
25 , 67.0 , 100.0 , 85.52 , 
26 , 73.0 , 102.0 , 84.64 , 
27 , 71.0 , 106.0 , 84.82 , 
28 , 66.0 , 109.0 , 82.28 , 
29 , 70.0 , 105.0 , 87.1 , 
30 , 71.0 , 100.0 , 82.44 , 
31 , 66.0 , 103.0 , 84.26 , 
32 , 70.0 , 108.0 , 84.68 , 
33 , 69.0 , 103.0 , 83.24 , 
34 , 66.0 , 102.0 , 83.24 , 
35 , 66.0 , 107.0 , 85.48 , 
36 , 66.0 , 110.0 , 84.28 , 
37 , 70.0 , 104.0 , 84.74 , 
38 , 66.0 , 98.0 , 84.04 , 
39 , 66.0 , 106.0 , 83.72 , 
40 , 69.0 , 101.0 , 84.14 , 
41 , 64.0 , 118.0 , 86.06 , 
42 , 70.0 , 106.0 , 85.66 , 
43 , 71.0 , 107.0 , 84.66 , 
44 , 70.0 , 100.0 , 83.4 , 
45 , 67.0 , 106.0 , 82.28 , 
46 , 70.0 , 102.0 , 85.08 , 
47 , 75.0 , 102.0 , 84.66 , 
48 , 67.0 , 105.0 , 84.52 , 
49 , 69.0 , 107.0 , 84.64 , 
50 , 71.0 , 107.0 , 86.18 , 
51 , 70.0 , 106.0 , 83.42 , 
52 , 71.0 , 105.0 , 85.48 , 
53 , 68.0 , 111.0 , 83.48 , 
54 , 70.0 , 108.0 , 83.66 , 
55 , 67.0 , 102.0 , 83.66 , 
56 , 70.0 , 105.0 , 84.9 , 
57 , 69.0 , 111.0 , 83.34 , 
58 , 71.0 , 96.0 , 82.88 , 
59 , 66.0 , 102.0 , 83.18 , 
60 , 65.0 , 107.0 , 87.92 , 
61 , 70.0 , 93.0 , 83.3 , 
62 , 66.0 , 104.0 , 82.68 , 
63 , 67.0 , 95.0 , 81.48 , 
64 , 63.0 , 103.0 , 83.06 , 
65 , 70.0 , 109.0 , 85.26 , 
66 , 66.0 , 100.0 , 81.6 , 
67 , 69.0 , 102.0 , 85.06 , 
68 , 64.0 , 102.0 , 81.12 , 
69 , 68.0 , 105.0 , 85.38 , 
70 , 64.0 , 103.0 , 84.9 , 
71 , 68.0 , 109.0 , 82.68 , 
72 , 72.0 , 105.0 , 84.06 , 
73 , 68.0 , 107.0 , 82.88 , 
74 , 67.0 , 100.0 , 82.92 , 
75 , 66.0 , 106.0 , 83.82 , 
76 , 71.0 , 111.0 , 85.04 , 
77 , 71.0 , 100.0 , 84.32 , 
78 , 65.0 , 112.0 , 82.72 , 
79 , 68.0 , 104.0 , 82.74 , 
80 , 67.0 , 108.0 , 82.32 , 
81 , 61.0 , 107.0 , 83.24 , 
82 , 65.0 , 107.0 , 81.96 , 
83 , 66.0 , 103.0 , 81.86 , 
84 , 69.0 , 101.0 , 83.56 , 
85 , 65.0 , 101.0 , 83.4 , 
86 , 68.0 , 101.0 , 82.82 , 
87 , 69.0 , 95.0 , 83.42 , 
88 , 67.0 , 101.0 , 82.36 , 
89 , 69.0 , 102.0 , 82.6 , 
90 , 69.0 , 100.0 , 81.42 , 
91 , 67.0 , 99.0 , 82.28 , 
92 , 68.0 , 97.0 , 82.8 , 
93 , 68.0 , 102.0 , 84.5 , 
94 , 68.0 , 105.0 , 81.96 , 
95 , 66.0 , 116.0 , 84.36 , 
96 , 67.0 , 106.0 , 82.06 , 
97 , 65.0 , 100.0 , 82.02 , 
98 , 71.0 , 97.0 , 83.74 , 
99 , 66.0 , 95.0 , 81.74 , 
100 , 68.0 , 100.0 , 81.22 , 
101 , 71.0 , 106.0 , 83.66 , 
102 , 64.0 , 102.0 , 83.44 , 
103 , 72.0 , 98.0 , 82.56 , 
104 , 70.0 , 102.0 , 82.54 , 
105 , 67.0 , 105.0 , 82.88 , 
106 , 65.0 , 101.0 , 83.64 , 
107 , 68.0 , 99.0 , 80.22 , 
108 , 70.0 , 98.0 , 84.44 , 
109 , 65.0 , 101.0 , 84.58 , 
110 , 71.0 , 108.0 , 83.76 , 
111 , 70.0 , 99.0 , 83.62 , 
112 , 67.0 , 95.0 , 81.12 , 
113 , 67.0 , 94.0 , 80.3 , 
114 , 72.0 , 100.0 , 83.46 , 
115 , 70.0 , 97.0 , 82.72 , 
116 , 68.0 , 107.0 , 82.62 , 
117 , 66.0 , 98.0 , 82.5 , 
118 , 66.0 , 102.0 , 80.56 , 
119 , 67.0 , 96.0 , 82.16 , 
120 , 70.0 , 101.0 , 81.82 , 
121 , 69.0 , 100.0 , 81.78 , 
122 , 68.0 , 101.0 , 82.84 , 
123 , 69.0 , 93.0 , 81.56 , 
124 , 69.0 , 96.0 , 84.6 , 
125 , 59.0 , 101.0 , 82.62 , 
126 , 68.0 , 101.0 , 83.4 , 
127 , 66.0 , 108.0 , 82.96 , 
128 , 66.0 , 107.0 , 82.94 , 
129 , 67.0 , 99.0 , 80.8 , 
130 , 66.0 , 96.0 , 81.94 , 
131 , 65.0 , 104.0 , 80.24 , 
132 , 68.0 , 108.0 , 82.54 , 
133 , 67.0 , 100.0 , 82.26 , 
134 , 70.0 , 97.0 , 82.14 , 
135 , 65.0 , 97.0 , 82.8 , 
136 , 65.0 , 103.0 , 81.6 , 
137 , 60.0 , 106.0 , 82.28 , 
138 , 69.0 , 97.0 , 83.3 , 
139 , 64.0 , 103.0 , 83.08 , 
140 , 64.0 , 107.0 , 83.12 , 
141 , 65.0 , 105.0 , 80.48 , 
142 , 61.0 , 104.0 , 80.06 , 
143 , 70.0 , 112.0 , 85.56 , 
144 , 69.0 , 104.0 , 82.92 , 
145 , 70.0 , 100.0 , 81.7 , 
146 , 63.0 , 103.0 , 83.56 , 
147 , 65.0 , 97.0 , 82.16 , 
148 , 65.0 , 100.0 , 80.16 , 
149 , 68.0 , 101.0 , 82.36 , 
150 , 65.0 , 102.0 , 81.56 , 
151 , 65.0 , 94.0 , 81.08 , 
152 , 67.0 , 109.0 , 82.78 , 
153 , 66.0 , 100.0 , 80.96 , 
154 , 62.0 , 97.0 , 82.54 , 
155 , 69.0 , 100.0 , 82.3 , 
156 , 69.0 , 101.0 , 82.96 , 
157 , 64.0 , 99.0 , 81.0 , 
158 , 70.0 , 103.0 , 83.02 , 
159 , 62.0 , 107.0 , 81.28 , 
160 , 65.0 , 94.0 , 79.9 , 
161 , 63.0 , 101.0 , 81.06 , 
162 , 69.0 , 102.0 , 82.34 , 
163 , 65.0 , 97.0 , 82.92 , 
164 , 66.0 , 101.0 , 81.36 , 
165 , 72.0 , 100.0 , 82.9 , 
166 , 70.0 , 101.0 , 82.2 , 
167 , 67.0 , 102.0 , 82.46 , 
168 , 72.0 , 99.0 , 82.24 , 
169 , 68.0 , 97.0 , 81.2 , 
170 , 61.0 , 101.0 , 82.76 , 
171 , 67.0 , 101.0 , 82.46 , 
172 , 65.0 , 105.0 , 82.32 , 
173 , 59.0 , 98.0 , 80.6 , 
174 , 65.0 , 99.0 , 81.72 , 
175 , 64.0 , 102.0 , 80.6 , 
176 , 65.0 , 102.0 , 80.94 , 
177 , 63.0 , 98.0 , 79.84 , 
178 , 61.0 , 95.0 , 79.88 , 
179 , 65.0 , 99.0 , 82.16 , 
180 , 67.0 , 98.0 , 81.84 , 
181 , 62.0 , 97.0 , 80.4 , 
182 , 66.0 , 100.0 , 82.14 , 
183 , 67.0 , 98.0 , 82.42 , 
184 , 69.0 , 99.0 , 80.76 , 
185 , 69.0 , 96.0 , 82.84 , 
186 , 68.0 , 101.0 , 82.72 , 
187 , 69.0 , 107.0 , 82.42 , 
188 , 64.0 , 98.0 , 82.02 , 
189 , 68.0 , 101.0 , 82.52 , 
190 , 68.0 , 100.0 , 81.76 , 
191 , 72.0 , 104.0 , 83.9 , 
192 , 70.0 , 98.0 , 82.42 , 
193 , 68.0 , 98.0 , 80.48 , 
194 , 63.0 , 94.0 , 81.52 , 
195 , 64.0 , 98.0 , 82.04 , 
