Machine = 10,Job = 5,Task = 60,Ant = 50,
Sedai , Best , Bad , Average 
0 , 79.0 , 107.0 , 92.94 , 
1 , 80.0 , 107.0 , 90.74 , 
2 , 75.0 , 107.0 , 90.96 , 
3 , 70.0 , 109.0 , 89.5 , 
4 , 76.0 , 107.0 , 87.94 , 
5 , 76.0 , 113.0 , 90.16 , 
6 , 71.0 , 117.0 , 89.82 , 
7 , 72.0 , 120.0 , 88.8 , 
8 , 70.0 , 109.0 , 87.74 , 
9 , 69.0 , 103.0 , 87.52 , 
10 , 72.0 , 102.0 , 85.34 , 
11 , 73.0 , 114.0 , 89.42 , 
12 , 74.0 , 107.0 , 86.56 , 
13 , 71.0 , 119.0 , 86.74 , 
14 , 71.0 , 101.0 , 86.04 , 
15 , 71.0 , 102.0 , 86.02 , 
16 , 67.0 , 112.0 , 88.18 , 
17 , 66.0 , 108.0 , 85.82 , 
18 , 68.0 , 107.0 , 85.88 , 
19 , 71.0 , 108.0 , 85.54 , 
20 , 72.0 , 107.0 , 84.9 , 
21 , 67.0 , 101.0 , 85.62 , 
22 , 73.0 , 108.0 , 88.0 , 
23 , 71.0 , 100.0 , 85.8 , 
24 , 72.0 , 100.0 , 85.04 , 
25 , 68.0 , 103.0 , 85.64 , 
26 , 71.0 , 102.0 , 85.38 , 
27 , 72.0 , 108.0 , 86.0 , 
28 , 67.0 , 103.0 , 85.72 , 
29 , 73.0 , 107.0 , 85.38 , 
30 , 73.0 , 108.0 , 85.38 , 
31 , 71.0 , 108.0 , 84.6 , 
32 , 71.0 , 107.0 , 85.84 , 
33 , 71.0 , 119.0 , 84.42 , 
34 , 66.0 , 107.0 , 86.06 , 
35 , 68.0 , 100.0 , 83.32 , 
36 , 72.0 , 106.0 , 83.32 , 
37 , 62.0 , 101.0 , 84.54 , 
38 , 68.0 , 107.0 , 86.16 , 
39 , 66.0 , 108.0 , 86.62 , 
40 , 70.0 , 100.0 , 85.28 , 
41 , 71.0 , 111.0 , 85.58 , 
42 , 72.0 , 102.0 , 86.16 , 
43 , 67.0 , 107.0 , 86.44 , 
44 , 72.0 , 106.0 , 84.88 , 
45 , 71.0 , 108.0 , 85.42 , 
46 , 71.0 , 108.0 , 85.58 , 
47 , 70.0 , 109.0 , 85.38 , 
48 , 69.0 , 97.0 , 84.1 , 
49 , 66.0 , 97.0 , 82.34 , 
50 , 68.0 , 102.0 , 84.62 , 
51 , 63.0 , 102.0 , 85.52 , 
52 , 73.0 , 99.0 , 84.86 , 
53 , 73.0 , 94.0 , 84.04 , 
54 , 67.0 , 105.0 , 83.04 , 
55 , 65.0 , 97.0 , 83.32 , 
56 , 71.0 , 99.0 , 83.88 , 
57 , 67.0 , 101.0 , 84.3 , 
