Machine= 5,Job= 5,Task= 12,Ant= 50,
K, Best, Bad , Average
915,43.0,51.0,44.76,
916,43.0,51.0,45.06,
917,43.0,52.0,44.96,
918,43.0,52.0,44.6,
919,43.0,51.0,44.96,
920,43.0,50.0,45.08,
921,43.0,57.0,45.36,
922,43.0,51.0,45.3,
923,43.0,51.0,45.84,
924,43.0,53.0,44.94,
925,43.0,54.0,45.2,
926,43.0,51.0,44.48,
927,43.0,55.0,44.98,
928,43.0,55.0,44.88,
929,43.0,51.0,45.08,
930,43.0,52.0,45.48,
931,43.0,49.0,45.34,
932,43.0,53.0,45.74,
933,43.0,54.0,45.28,
934,43.0,55.0,45.58,
935,43.0,51.0,45.18,
936,43.0,49.0,44.76,
937,43.0,51.0,44.86,
938,43.0,54.0,45.22,
939,43.0,50.0,44.98,
940,43.0,50.0,44.8,
941,43.0,51.0,44.88,
942,43.0,51.0,44.7,
943,43.0,49.0,44.76,
944,43.0,52.0,44.68,
945,43.0,51.0,45.08,
946,43.0,51.0,44.9,
947,43.0,53.0,44.38,
948,43.0,54.0,44.9,
949,43.0,56.0,44.96,
950,43.0,52.0,45.16,
951,43.0,52.0,44.8,
952,43.0,49.0,44.36,
953,43.0,50.0,44.52,
954,43.0,50.0,44.9,
955,43.0,52.0,45.14,
956,43.0,54.0,44.64,
957,43.0,54.0,45.14,
958,43.0,51.0,44.94,
959,43.0,49.0,44.54,
960,43.0,51.0,44.92,
961,43.0,57.0,45.44,
962,43.0,55.0,44.44,
963,43.0,52.0,45.42,
964,43.0,54.0,45.18,
965,43.0,53.0,45.62,
966,43.0,51.0,45.42,
967,43.0,53.0,45.0,
968,43.0,56.0,45.12,
969,43.0,50.0,44.9,
970,43.0,49.0,44.5,
971,43.0,52.0,45.22,
972,43.0,57.0,45.4,
973,43.0,49.0,44.84,
974,43.0,51.0,45.02,
975,43.0,53.0,44.44,
976,43.0,54.0,45.1,
977,43.0,53.0,44.68,
978,43.0,50.0,45.04,
979,43.0,51.0,45.24,
980,43.0,56.0,45.16,
981,43.0,53.0,44.86,
982,43.0,51.0,44.78,
983,43.0,52.0,44.88,
984,43.0,49.0,45.18,
985,43.0,51.0,44.68,
986,43.0,53.0,44.76,
987,43.0,51.0,44.68,
988,43.0,49.0,44.74,
989,43.0,53.0,45.56,
990,43.0,48.0,44.16,
991,43.0,48.0,44.4,
992,43.0,49.0,44.54,
993,43.0,51.0,44.84,
994,43.0,50.0,44.88,
995,43.0,49.0,44.34,
996,43.0,56.0,44.76,
997,43.0,52.0,45.2,
998,43.0,52.0,45.16,
999,43.0,50.0,44.96,
1000,43.0,53.0,44.74,
1001,43.0,49.0,44.4,
1002,43.0,49.0,44.54,
1003,43.0,50.0,44.58,
1004,43.0,53.0,44.76,
1005,43.0,50.0,44.58,
1006,43.0,49.0,44.5,
1007,43.0,51.0,45.02,
1008,43.0,52.0,44.28,
1009,43.0,50.0,44.56,
1010,43.0,56.0,44.74,
1011,43.0,53.0,44.98,
1012,43.0,51.0,44.48,
1013,43.0,52.0,44.48,
1014,43.0,49.0,44.48,
1015,43.0,52.0,44.96,
1016,43.0,50.0,44.72,
1017,43.0,50.0,44.58,
1018,43.0,51.0,44.74,
1019,43.0,49.0,44.28,
1020,43.0,60.0,44.7,
1021,43.0,50.0,44.62,
1022,43.0,48.0,44.14,
1023,43.0,50.0,44.56,
1024,43.0,50.0,44.32,
1025,43.0,47.0,44.28,
1026,43.0,51.0,44.7,
1027,43.0,50.0,44.68,
1028,43.0,51.0,44.42,
1029,43.0,51.0,44.84,
1030,43.0,49.0,44.26,
1031,43.0,49.0,44.46,
1032,43.0,50.0,44.82,
1033,43.0,53.0,44.76,
1034,43.0,48.0,44.34,
1035,43.0,51.0,44.78,
1036,43.0,50.0,44.3,
1037,43.0,54.0,45.16,
1038,43.0,53.0,44.86,
1039,43.0,51.0,44.66,
1040,43.0,49.0,44.56,
1041,43.0,50.0,44.7,
1042,43.0,51.0,44.78,
1043,43.0,49.0,44.9,
1044,43.0,51.0,44.96,
1045,43.0,52.0,44.94,
1046,43.0,57.0,44.94,
1047,43.0,50.0,44.94,
1048,43.0,48.0,44.22,
1049,43.0,51.0,45.06,
1050,43.0,52.0,44.84,
1051,43.0,54.0,45.48,
1052,43.0,51.0,44.82,
1053,43.0,52.0,44.9,
1054,43.0,52.0,45.0,
1055,43.0,49.0,44.8,
1056,43.0,51.0,45.2,
1057,43.0,54.0,45.06,
1058,43.0,53.0,45.06,
1059,43.0,50.0,44.46,
1060,43.0,50.0,44.58,
1061,43.0,50.0,44.88,
1062,43.0,49.0,44.4,
1063,43.0,48.0,44.74,
1064,43.0,53.0,44.96,
1065,43.0,52.0,44.76,
1066,43.0,49.0,44.7,
1067,43.0,53.0,44.66,
1068,43.0,51.0,44.7,
1069,43.0,51.0,44.96,
1070,43.0,50.0,44.7,
1071,43.0,51.0,44.8,
1072,43.0,50.0,44.8,
1073,43.0,55.0,45.3,
1074,43.0,49.0,44.96,
1075,43.0,51.0,44.44,
1076,43.0,51.0,44.66,
1077,43.0,51.0,45.1,
1078,43.0,51.0,45.22,
1079,43.0,51.0,44.7,
1080,43.0,55.0,44.64,
1081,43.0,49.0,44.32,
1082,43.0,53.0,45.66,
1083,43.0,54.0,44.36,
1084,43.0,53.0,45.16,
1085,43.0,56.0,45.42,
1086,43.0,52.0,44.66,
1087,43.0,51.0,45.26,
1088,43.0,51.0,44.74,
1089,43.0,50.0,44.68,
1090,43.0,49.0,44.74,
1091,43.0,52.0,45.14,
1092,43.0,51.0,44.78,
1093,43.0,52.0,44.92,
1094,43.0,52.0,44.56,
1095,43.0,51.0,44.66,
1096,43.0,50.0,44.68,
1097,43.0,50.0,44.6,
1098,43.0,49.0,45.06,
1099,43.0,50.0,44.72,
1100,43.0,52.0,45.24,
1101,43.0,53.0,45.3,
1102,43.0,48.0,44.48,
1103,43.0,51.0,45.2,
1104,43.0,52.0,44.88,
1105,43.0,52.0,45.24,
1106,43.0,51.0,44.82,
1107,43.0,49.0,44.62,
1108,43.0,56.0,45.1,
1109,43.0,50.0,44.92,
1110,43.0,52.0,44.52,
1111,43.0,52.0,45.44,
1112,43.0,51.0,44.84,
1113,43.0,57.0,45.12,
1114,43.0,50.0,45.18,
1115,43.0,50.0,44.54,
1116,43.0,54.0,45.12,
1117,43.0,52.0,44.82,
1118,43.0,52.0,45.12,
1119,43.0,50.0,45.18,
1120,43.0,58.0,45.7,
1121,43.0,51.0,44.84,
1122,43.0,52.0,45.18,
1123,43.0,53.0,45.16,
1124,43.0,57.0,45.08,
1125,43.0,50.0,44.98,
1126,43.0,50.0,44.6,
1127,43.0,51.0,45.16,
1128,43.0,52.0,45.38,
1129,43.0,53.0,45.34,
1130,43.0,50.0,44.44,
1131,43.0,51.0,45.12,
1132,43.0,59.0,44.82,
1133,43.0,52.0,45.14,
1134,43.0,52.0,45.06,
1135,43.0,56.0,45.04,
1136,43.0,50.0,45.2,
1137,43.0,52.0,44.92,
1138,43.0,50.0,44.92,
1139,43.0,51.0,45.16,
1140,43.0,50.0,45.2,
1141,43.0,52.0,46.1,
1142,43.0,50.0,44.56,
1143,43.0,53.0,44.74,
1144,43.0,57.0,45.08,
1145,43.0,53.0,44.88,
1146,43.0,50.0,45.06,
1147,43.0,52.0,44.74,
1148,43.0,52.0,44.66,
1149,43.0,49.0,45.14,
1150,43.0,50.0,44.88,
1151,43.0,50.0,44.6,
1152,43.0,49.0,44.82,
1153,43.0,51.0,45.06,
1154,43.0,50.0,44.7,
1155,43.0,56.0,45.5,
1156,43.0,52.0,45.06,
1157,43.0,50.0,44.88,
1158,43.0,52.0,44.6,
1159,43.0,49.0,44.1,
1160,43.0,52.0,44.8,
1161,43.0,49.0,44.36,
1162,43.0,50.0,44.34,
1163,43.0,50.0,44.8,
1164,43.0,49.0,44.74,
1165,43.0,50.0,44.7,
1166,43.0,50.0,44.84,
1167,43.0,52.0,45.1,
1168,43.0,54.0,45.22,
1169,43.0,50.0,44.78,
1170,43.0,50.0,44.78,
1171,43.0,50.0,44.96,
1172,43.0,54.0,45.38,
1173,43.0,51.0,44.88,
1174,43.0,51.0,45.06,
1175,43.0,50.0,44.62,
1176,43.0,49.0,44.28,
1177,43.0,52.0,45.14,
1178,43.0,50.0,44.76,
1179,43.0,54.0,44.82,
1180,43.0,52.0,44.92,
1181,43.0,51.0,44.96,
1182,43.0,51.0,44.78,
1183,43.0,50.0,45.02,
1184,43.0,51.0,45.46,
1185,43.0,52.0,44.9,
1186,43.0,49.0,44.84,
1187,43.0,51.0,44.98,
1188,43.0,52.0,45.04,
1189,43.0,53.0,44.96,
1190,43.0,51.0,45.12,
1191,43.0,52.0,44.72,
1192,43.0,52.0,45.14,
1193,43.0,52.0,44.88,
1194,43.0,50.0,45.42,
1195,43.0,52.0,44.9,
1196,43.0,53.0,45.04,
1197,43.0,49.0,44.66,
1198,43.0,51.0,45.1,
1199,43.0,51.0,45.98,
1200,43.0,50.0,45.14,
1201,43.0,50.0,45.2,
1202,43.0,52.0,44.88,
1203,43.0,52.0,45.02,
1204,43.0,53.0,44.44,
1205,43.0,52.0,44.54,
1206,43.0,52.0,45.18,
1207,43.0,50.0,44.28,
1208,43.0,53.0,45.16,
1209,43.0,49.0,44.96,
1210,43.0,57.0,45.02,
1211,43.0,54.0,45.44,
1212,43.0,51.0,45.18,
1213,43.0,51.0,45.42,
1214,43.0,51.0,45.1,
1215,43.0,50.0,44.9,
1216,43.0,50.0,45.14,
1217,43.0,50.0,44.46,
1218,43.0,54.0,45.36,
1219,43.0,53.0,44.98,
1220,43.0,51.0,44.74,
1221,43.0,52.0,44.68,
1222,43.0,51.0,44.46,
1223,43.0,52.0,45.2,
1224,43.0,49.0,44.48,
1225,43.0,48.0,44.46,
1226,43.0,50.0,45.2,
1227,43.0,54.0,44.98,
1228,43.0,49.0,44.52,
1229,43.0,57.0,45.14,
1230,43.0,49.0,45.02,
1231,43.0,51.0,44.76,
1232,43.0,48.0,44.48,
1233,43.0,51.0,45.04,
1234,43.0,51.0,44.5,
1235,43.0,50.0,44.86,
1236,43.0,49.0,44.6,
1237,43.0,54.0,44.9,
1238,43.0,53.0,44.52,
1239,43.0,51.0,44.88,
1240,43.0,50.0,44.84,
1241,43.0,51.0,44.88,
1242,43.0,49.0,44.38,
1243,43.0,55.0,44.88,
1244,43.0,49.0,44.9,
1245,43.0,49.0,44.7,
1246,43.0,51.0,44.74,
1247,43.0,50.0,44.96,
1248,43.0,50.0,44.72,
1249,43.0,54.0,44.82,
1250,43.0,51.0,44.52,
1251,43.0,51.0,44.62,
1252,43.0,53.0,45.0,
1253,43.0,52.0,44.72,
1254,43.0,51.0,45.28,
1255,43.0,51.0,45.16,
1256,43.0,56.0,45.08,
1257,43.0,51.0,45.72,
1258,43.0,50.0,44.84,
1259,43.0,52.0,45.56,
1260,43.0,55.0,45.52,
1261,43.0,53.0,45.26,
1262,43.0,50.0,44.54,
1263,43.0,52.0,44.84,
1264,43.0,52.0,45.16,
1265,43.0,50.0,44.96,
1266,43.0,50.0,44.9,
1267,43.0,50.0,44.9,
1268,43.0,51.0,45.1,
1269,43.0,54.0,44.88,
1270,43.0,50.0,44.68,
1271,43.0,50.0,44.84,
1272,43.0,52.0,45.04,
1273,43.0,50.0,44.84,
1274,43.0,52.0,45.2,
1275,43.0,52.0,44.92,
1276,43.0,53.0,45.5,
1277,43.0,53.0,45.14,
1278,43.0,51.0,44.58,
1279,43.0,51.0,44.92,
1280,43.0,50.0,44.48,
1281,43.0,50.0,44.62,
1282,43.0,51.0,44.8,
1283,43.0,53.0,45.36,
1284,43.0,51.0,44.88,
1285,43.0,53.0,45.04,
1286,43.0,51.0,44.82,
1287,43.0,52.0,45.48,
1288,43.0,50.0,44.74,
1289,43.0,55.0,45.22,
1290,43.0,50.0,44.66,
1291,43.0,49.0,44.86,
1292,43.0,50.0,44.78,
1293,43.0,49.0,44.88,
1294,43.0,51.0,44.96,
1295,43.0,52.0,45.42,
1296,43.0,57.0,45.04,
1297,43.0,50.0,44.64,
1298,43.0,51.0,45.04,
1299,43.0,49.0,44.74,
1300,43.0,49.0,44.68,
1301,43.0,51.0,44.74,
1302,43.0,49.0,44.52,
1303,43.0,50.0,45.0,
1304,43.0,52.0,44.76,
1305,43.0,51.0,45.54,
1306,43.0,52.0,44.6,
1307,43.0,50.0,45.2,
1308,43.0,51.0,44.84,
1309,43.0,52.0,44.84,
1310,43.0,50.0,44.98,
1311,43.0,53.0,44.36,
1312,43.0,49.0,44.62,
1313,43.0,55.0,45.44,
1314,43.0,51.0,44.82,
1315,43.0,52.0,44.74,
1316,43.0,50.0,44.92,
1317,43.0,50.0,44.76,
1318,43.0,49.0,44.36,
1319,43.0,55.0,44.74,
1320,43.0,53.0,44.4,
1321,43.0,49.0,44.64,
1322,43.0,50.0,44.7,
1323,43.0,50.0,44.54,
1324,43.0,52.0,44.62,
1325,43.0,49.0,44.66,
1326,43.0,51.0,44.58,
1327,43.0,48.0,44.14,
1328,43.0,52.0,44.4,
1329,43.0,49.0,44.5,
1330,43.0,49.0,44.24,
1331,43.0,49.0,44.48,
1332,43.0,50.0,44.48,
1333,43.0,50.0,44.36,
1334,43.0,49.0,44.34,
1335,43.0,51.0,44.42,
1336,43.0,49.0,44.62,
1337,43.0,52.0,44.34,
1338,43.0,49.0,44.38,
1339,43.0,52.0,44.76,
1340,43.0,50.0,44.62,
1341,43.0,50.0,44.86,
1342,43.0,52.0,44.42,
1343,43.0,49.0,44.8,
1344,43.0,49.0,44.3,
1345,43.0,51.0,45.04,
1346,43.0,53.0,45.08,
1347,43.0,48.0,44.3,
1348,43.0,51.0,44.78,
1349,43.0,49.0,44.72,
1350,43.0,51.0,44.7,
1351,43.0,48.0,44.14,
1352,43.0,53.0,44.8,
1353,43.0,48.0,44.18,
1354,43.0,52.0,44.92,
1355,43.0,51.0,44.94,
1356,43.0,49.0,44.44,
1357,43.0,51.0,44.52,
1358,43.0,48.0,44.02,
1359,43.0,54.0,44.28,
1360,43.0,51.0,44.5,
1361,43.0,49.0,44.14,
1362,43.0,50.0,44.64,
1363,43.0,51.0,44.54,
1364,43.0,50.0,44.36,
1365,43.0,52.0,44.56,
1366,43.0,48.0,44.2,
1367,43.0,48.0,44.14,
1368,43.0,50.0,44.66,
1369,43.0,51.0,44.76,
1370,43.0,49.0,44.38,
1371,43.0,51.0,44.32,
1372,43.0,48.0,44.26,
1373,43.0,52.0,45.06,
1374,43.0,50.0,44.2,
1375,43.0,54.0,44.34,
1376,43.0,49.0,44.04,
1377,43.0,52.0,44.72,
1378,43.0,51.0,44.6,
1379,43.0,50.0,44.28,
1380,43.0,49.0,44.0,
1381,43.0,50.0,44.14,
1382,43.0,50.0,44.44,
1383,43.0,51.0,44.56,
1384,43.0,50.0,44.34,
1385,43.0,52.0,44.56,
1386,43.0,52.0,44.32,
1387,43.0,54.0,44.5,
1388,43.0,52.0,44.48,
1389,43.0,52.0,44.76,
1390,43.0,50.0,44.78,
1391,43.0,49.0,43.84,
1392,43.0,49.0,44.1,
1393,43.0,50.0,44.2,
1394,43.0,50.0,44.64,
1395,43.0,51.0,44.12,
1396,43.0,48.0,43.86,
1397,43.0,55.0,44.6,
1398,43.0,49.0,44.16,
1399,43.0,49.0,44.24,
1400,43.0,49.0,44.34,
1401,43.0,47.0,43.94,
1402,43.0,50.0,44.4,
1403,43.0,50.0,44.28,
1404,43.0,54.0,44.4,
1405,43.0,49.0,44.24,
1406,43.0,50.0,44.36,
1407,43.0,50.0,44.28,
1408,43.0,50.0,44.44,
1409,43.0,50.0,44.12,
1410,43.0,50.0,44.34,
1411,43.0,48.0,43.82,
1412,43.0,50.0,44.1,
1413,43.0,48.0,44.08,
1414,43.0,50.0,44.42,
1415,43.0,48.0,44.02,
1416,43.0,49.0,44.46,
1417,43.0,50.0,44.4,
1418,43.0,50.0,43.98,
1419,43.0,49.0,43.98,
1420,43.0,49.0,44.3,
1421,43.0,51.0,44.3,
1422,43.0,47.0,44.0,
1423,43.0,47.0,43.84,
1424,43.0,47.0,44.04,
1425,43.0,51.0,44.42,
1426,43.0,48.0,44.1,
1427,43.0,50.0,44.34,
1428,43.0,54.0,44.12,
1429,43.0,49.0,43.68,
1430,43.0,52.0,44.18,
1431,43.0,52.0,44.1,
1432,43.0,48.0,44.3,
1433,43.0,50.0,43.9,
1434,43.0,48.0,44.18,
1435,43.0,52.0,44.24,
1436,43.0,49.0,44.42,
1437,43.0,52.0,44.72,
1438,43.0,48.0,43.94,
1439,43.0,53.0,44.54,
1440,43.0,48.0,43.9,
1441,43.0,52.0,44.26,
1442,43.0,48.0,44.1,
1443,43.0,50.0,44.4,
1444,43.0,50.0,44.28,
1445,43.0,49.0,44.38,
1446,43.0,49.0,44.34,
1447,43.0,48.0,44.04,
1448,43.0,50.0,44.06,
1449,43.0,50.0,44.26,
1450,43.0,49.0,44.64,
1451,43.0,53.0,44.84,
1452,43.0,51.0,44.48,
1453,43.0,50.0,44.72,
1454,43.0,48.0,43.74,
1455,43.0,51.0,44.46,
1456,43.0,49.0,44.16,
1457,43.0,48.0,43.66,
1458,43.0,48.0,44.22,
1459,43.0,51.0,44.26,
1460,43.0,51.0,44.7,
1461,43.0,48.0,44.14,
1462,43.0,47.0,43.74,
1463,43.0,51.0,44.6,
1464,43.0,52.0,44.14,
1465,43.0,50.0,43.98,
1466,43.0,49.0,44.36,
1467,43.0,49.0,44.78,
1468,43.0,52.0,44.2,
1469,43.0,48.0,44.38,
1470,43.0,50.0,44.12,
1471,43.0,49.0,44.08,
1472,43.0,50.0,44.38,
1473,43.0,51.0,44.62,
1474,43.0,47.0,43.82,
1475,43.0,50.0,44.44,
1476,43.0,53.0,44.34,
1477,43.0,50.0,44.2,
1478,43.0,50.0,44.5,
1479,43.0,49.0,44.34,
1480,43.0,51.0,44.2,
1481,43.0,47.0,43.7,
1482,43.0,49.0,44.36,
1483,43.0,49.0,44.22,
1484,43.0,51.0,44.3,
1485,43.0,49.0,44.26,
1486,43.0,49.0,44.52,
1487,43.0,48.0,44.3,
1488,43.0,51.0,44.26,
1489,43.0,49.0,43.7,
1490,43.0,48.0,44.48,
1491,43.0,48.0,44.36,
1492,43.0,50.0,44.6,
1493,43.0,50.0,44.22,
1494,43.0,49.0,44.18,
1495,43.0,51.0,44.04,
1496,43.0,50.0,43.68,
1497,43.0,49.0,44.24,
1498,43.0,52.0,44.08,
1499,43.0,51.0,44.44,
1500,43.0,49.0,43.98,
1501,43.0,51.0,44.22,
1502,43.0,49.0,44.26,
1503,43.0,50.0,44.34,
1504,43.0,50.0,44.52,
1505,43.0,49.0,44.22,
1506,43.0,51.0,44.26,
1507,43.0,47.0,43.86,
1508,43.0,52.0,44.94,
1509,43.0,49.0,44.42,
1510,43.0,50.0,45.02,
1511,43.0,49.0,44.18,
1512,43.0,53.0,44.5,
1513,43.0,49.0,44.16,
1514,43.0,51.0,44.68,
1515,43.0,54.0,44.22,
1516,43.0,49.0,44.5,
1517,43.0,49.0,44.1,
1518,43.0,50.0,44.52,
1519,43.0,50.0,44.14,
1520,43.0,54.0,44.74,
1521,43.0,50.0,44.04,
1522,43.0,50.0,44.08,
1523,43.0,49.0,44.04,
1524,43.0,50.0,44.02,
1525,43.0,51.0,44.14,
1526,43.0,49.0,44.9,
1527,43.0,50.0,44.24,
1528,43.0,48.0,44.46,
1529,43.0,53.0,44.44,
1530,43.0,50.0,44.16,
1531,43.0,50.0,44.5,
1532,43.0,49.0,44.4,
1533,43.0,48.0,44.02,
1534,43.0,50.0,44.48,
1535,43.0,49.0,44.24,
1536,43.0,48.0,44.32,
1537,43.0,51.0,44.58,
1538,43.0,50.0,44.2,
1539,43.0,49.0,44.0,
1540,43.0,51.0,44.18,
1541,43.0,50.0,44.2,
1542,43.0,48.0,44.16,
1543,43.0,50.0,44.02,
1544,43.0,50.0,44.46,
1545,43.0,47.0,43.86,
1546,43.0,49.0,44.06,
1547,43.0,50.0,44.44,
1548,43.0,50.0,44.3,
1549,43.0,50.0,44.22,
1550,43.0,55.0,44.2,
1551,43.0,50.0,44.36,
1552,43.0,48.0,44.14,
1553,43.0,52.0,44.36,
1554,43.0,49.0,44.34,
1555,43.0,48.0,43.92,
1556,43.0,50.0,44.26,
1557,43.0,51.0,44.34,
1558,43.0,49.0,43.9,
1559,43.0,49.0,44.28,
1560,43.0,51.0,44.24,
1561,43.0,52.0,44.22,
1562,43.0,54.0,44.5,
1563,43.0,54.0,44.32,
1564,43.0,48.0,44.36,
1565,43.0,50.0,44.24,
1566,43.0,51.0,44.12,
1567,43.0,51.0,44.5,
1568,43.0,49.0,44.32,
1569,43.0,51.0,44.48,
1570,43.0,50.0,44.34,
1571,43.0,52.0,44.42,
1572,43.0,48.0,43.92,
1573,43.0,48.0,44.18,
1574,43.0,50.0,44.26,
1575,43.0,50.0,44.36,
1576,43.0,52.0,44.28,
1577,43.0,47.0,44.06,
1578,43.0,51.0,44.42,
1579,43.0,52.0,44.2,
1580,43.0,49.0,44.42,
1581,43.0,49.0,44.5,
1582,43.0,53.0,44.44,
1583,43.0,49.0,44.22,
1584,43.0,49.0,44.62,
1585,43.0,50.0,44.18,
1586,43.0,51.0,44.38,
1587,43.0,52.0,44.0,
1588,43.0,51.0,44.62,
1589,43.0,50.0,43.7,
1590,43.0,54.0,44.56,
1591,43.0,49.0,44.68,
1592,43.0,49.0,44.36,
1593,43.0,50.0,44.18,
1594,43.0,52.0,44.28,
1595,43.0,52.0,44.12,
1596,43.0,48.0,44.02,
1597,43.0,49.0,44.12,
1598,43.0,51.0,43.8,
1599,43.0,52.0,43.96,
1600,43.0,48.0,43.82,
1601,43.0,50.0,44.12,
1602,43.0,53.0,43.96,
1603,43.0,52.0,44.18,
1604,43.0,50.0,44.18,
1605,43.0,50.0,44.1,
1606,43.0,49.0,44.22,
1607,43.0,49.0,44.32,
1608,43.0,51.0,44.76,
1609,43.0,50.0,44.4,
1610,43.0,50.0,44.58,
1611,43.0,49.0,44.0,
1612,43.0,49.0,44.0,
1613,43.0,50.0,44.0,
1614,43.0,50.0,44.2,
1615,43.0,51.0,43.96,
1616,43.0,49.0,43.76,
1617,43.0,50.0,44.5,
1618,43.0,50.0,44.3,
1619,43.0,47.0,43.94,
1620,43.0,49.0,44.24,
1621,43.0,49.0,44.46,
1622,43.0,50.0,44.24,
1623,43.0,50.0,44.08,
1624,43.0,48.0,44.02,
1625,43.0,48.0,44.16,
1626,43.0,48.0,44.24,
1627,43.0,50.0,44.64,
1628,43.0,49.0,44.14,
1629,43.0,52.0,44.26,
1630,43.0,53.0,43.88,
1631,43.0,48.0,43.96,
1632,43.0,49.0,44.32,
1633,43.0,52.0,43.98,
1634,43.0,50.0,44.66,
1635,43.0,52.0,43.98,
1636,43.0,48.0,44.1,
1637,43.0,50.0,43.88,
1638,43.0,53.0,44.22,
1639,43.0,48.0,44.02,
1640,43.0,49.0,44.34,
1641,43.0,48.0,44.24,
1642,43.0,49.0,44.18,
1643,43.0,49.0,44.2,
1644,43.0,52.0,44.74,
1645,43.0,51.0,44.48,
1646,43.0,53.0,44.16,
1647,43.0,49.0,44.24,
1648,43.0,51.0,44.2,
1649,43.0,47.0,43.86,
1650,43.0,50.0,44.36,
1651,43.0,50.0,44.06,
1652,43.0,49.0,44.2,
1653,43.0,48.0,43.94,
1654,43.0,48.0,44.06,
1655,43.0,49.0,44.06,
1656,43.0,48.0,43.88,
1657,43.0,49.0,44.02,
1658,43.0,49.0,44.04,
1659,43.0,49.0,43.72,
1660,43.0,49.0,44.64,
1661,43.0,48.0,44.12,
1662,43.0,50.0,43.98,
1663,43.0,53.0,44.18,
1664,43.0,50.0,44.1,
1665,43.0,50.0,44.48,
1666,43.0,49.0,44.06,
1667,43.0,48.0,44.28,
1668,43.0,49.0,43.98,
1669,43.0,50.0,44.1,
1670,43.0,52.0,44.12,
1671,43.0,48.0,43.76,
1672,43.0,50.0,44.24,
1673,43.0,50.0,44.32,
1674,43.0,49.0,44.02,
1675,43.0,49.0,43.88,
1676,43.0,49.0,43.94,
1677,43.0,53.0,44.08,
1678,43.0,52.0,44.8,
1679,43.0,51.0,44.2,
1680,43.0,48.0,43.88,
1681,43.0,49.0,44.26,
1682,43.0,51.0,44.3,
1683,43.0,50.0,44.18,
1684,43.0,50.0,44.12,
1685,43.0,50.0,44.14,
1686,43.0,48.0,43.74,
1687,43.0,49.0,44.32,
1688,43.0,50.0,44.22,
1689,43.0,50.0,44.24,
1690,43.0,51.0,44.02,
1691,43.0,49.0,43.86,
1692,43.0,49.0,43.8,
1693,43.0,52.0,44.44,
1694,43.0,50.0,44.24,
1695,43.0,52.0,44.26,
1696,43.0,50.0,44.24,
1697,43.0,52.0,43.96,
1698,43.0,51.0,44.14,
1699,43.0,54.0,44.34,
1700,43.0,48.0,43.84,
1701,43.0,49.0,44.46,
1702,43.0,51.0,44.52,
1703,43.0,50.0,44.08,
1704,43.0,50.0,44.36,
1705,43.0,49.0,44.12,
1706,43.0,49.0,44.24,
1707,43.0,50.0,43.92,
1708,43.0,50.0,44.0,
1709,43.0,48.0,43.92,
1710,43.0,49.0,44.38,
1711,43.0,50.0,44.02,
1712,43.0,50.0,43.92,
1713,43.0,50.0,44.08,
1714,43.0,49.0,44.7,
1715,43.0,51.0,44.56,
1716,43.0,50.0,44.14,
1717,43.0,51.0,44.54,
1718,43.0,49.0,44.2,
1719,43.0,51.0,44.84,
1720,43.0,48.0,44.34,
1721,43.0,49.0,43.74,
1722,43.0,50.0,44.04,
1723,43.0,50.0,44.12,
1724,43.0,48.0,43.84,
1725,43.0,49.0,44.32,
1726,43.0,50.0,44.12,
1727,43.0,52.0,44.3,
1728,43.0,50.0,44.28,
1729,43.0,48.0,44.04,
1730,43.0,51.0,44.44,
1731,43.0,53.0,44.42,
1732,43.0,55.0,44.82,
1733,43.0,50.0,44.4,
1734,43.0,53.0,44.54,
1735,43.0,49.0,44.2,
1736,43.0,49.0,44.44,
1737,43.0,49.0,44.32,
1738,43.0,48.0,44.38,
1739,43.0,49.0,43.98,
1740,43.0,49.0,44.08,
1741,43.0,48.0,44.2,
1742,43.0,50.0,44.38,
1743,43.0,49.0,44.14,
1744,43.0,49.0,44.1,
1745,43.0,50.0,44.2,
1746,43.0,48.0,44.36,
1747,43.0,52.0,44.12,
1748,43.0,51.0,44.1,
1749,43.0,48.0,43.86,
1750,43.0,52.0,44.44,
1751,43.0,49.0,43.9,
1752,43.0,50.0,44.58,
1753,43.0,48.0,43.84,
1754,43.0,48.0,43.88,
1755,43.0,49.0,44.08,
1756,43.0,49.0,44.52,
1757,43.0,47.0,43.96,
1758,43.0,51.0,44.18,
1759,43.0,51.0,44.36,
1760,43.0,48.0,43.96,
1761,43.0,49.0,43.98,
1762,43.0,51.0,44.24,
1763,43.0,48.0,43.78,
1764,43.0,49.0,44.34,
1765,43.0,48.0,43.78,
1766,43.0,50.0,44.18,
1767,43.0,51.0,44.76,
1768,43.0,50.0,44.6,
1769,43.0,48.0,44.06,
1770,43.0,50.0,44.02,
1771,43.0,52.0,44.14,
1772,43.0,50.0,44.0,
1773,43.0,60.0,44.52,
1774,43.0,49.0,43.92,
1775,43.0,51.0,43.98,
1776,43.0,48.0,44.18,
1777,43.0,51.0,44.68,
1778,43.0,50.0,44.12,
1779,43.0,49.0,44.68,
1780,43.0,50.0,44.5,
1781,43.0,49.0,44.22,
1782,43.0,51.0,44.14,
1783,43.0,47.0,44.06,
1784,43.0,49.0,44.04,
1785,43.0,49.0,43.82,
1786,43.0,48.0,43.78,
1787,43.0,48.0,43.9,
1788,43.0,48.0,44.22,
1789,43.0,47.0,43.88,
1790,43.0,48.0,44.3,
1791,43.0,52.0,44.02,
