Machine= 5,Job= 5,Task= 12,Ant= 50,
K, Best, Bad , Average
210,45.0,64.0,52.68,
211,46.0,60.0,51.66,
212,46.0,59.0,52.32,
213,45.0,57.0,51.38,
214,47.0,62.0,52.06,
215,46.0,60.0,52.16,
216,47.0,60.0,53.08,
217,44.0,59.0,51.92,
218,45.0,60.0,52.76,
219,44.0,58.0,50.8,
220,43.0,58.0,50.98,
221,45.0,64.0,51.5,
222,45.0,61.0,51.72,
223,45.0,58.0,51.8,
224,46.0,60.0,52.06,
225,44.0,60.0,51.52,
226,45.0,60.0,50.98,
227,46.0,59.0,51.78,
228,47.0,61.0,51.38,
229,45.0,59.0,51.8,
230,45.0,66.0,52.2,
231,46.0,66.0,52.42,
232,44.0,64.0,50.72,
233,45.0,61.0,52.48,
234,43.0,62.0,51.88,
235,45.0,63.0,52.44,
236,45.0,58.0,51.36,
237,46.0,60.0,52.0,
238,45.0,63.0,51.64,
239,45.0,62.0,51.86,
240,45.0,57.0,50.94,
241,44.0,60.0,52.42,
242,44.0,58.0,51.5,
243,46.0,64.0,52.48,
244,45.0,60.0,51.3,
245,44.0,67.0,51.84,
246,46.0,61.0,50.9,
247,44.0,60.0,51.74,
248,44.0,58.0,51.1,
249,44.0,63.0,51.5,
250,45.0,61.0,51.38,
251,44.0,59.0,50.6,
252,45.0,58.0,50.86,
253,45.0,61.0,51.68,
254,44.0,58.0,50.76,
255,46.0,58.0,50.28,
256,44.0,68.0,51.9,
257,44.0,57.0,50.98,
258,45.0,56.0,49.92,
259,46.0,58.0,51.2,
260,45.0,68.0,51.28,
261,45.0,57.0,50.26,
262,44.0,58.0,50.28,
263,45.0,60.0,50.66,
264,46.0,61.0,50.52,
265,45.0,58.0,50.36,
266,45.0,67.0,50.9,
267,45.0,58.0,50.38,
268,43.0,60.0,50.06,
269,45.0,59.0,51.2,
270,43.0,59.0,50.68,
271,44.0,62.0,51.0,
272,44.0,61.0,50.52,
273,43.0,58.0,50.24,
274,45.0,59.0,50.92,
275,45.0,59.0,50.3,
276,44.0,57.0,51.34,
277,44.0,60.0,49.6,
278,43.0,66.0,50.6,
279,44.0,61.0,51.18,
280,44.0,58.0,50.02,
281,45.0,63.0,50.88,
282,44.0,59.0,50.84,
283,45.0,62.0,50.76,
284,46.0,56.0,49.62,
285,44.0,60.0,50.14,
286,45.0,61.0,50.7,
287,44.0,60.0,50.96,
288,45.0,56.0,49.7,
289,44.0,60.0,50.54,
290,46.0,57.0,50.62,
291,45.0,58.0,50.02,
292,44.0,59.0,50.6,
293,44.0,57.0,50.16,
294,45.0,59.0,50.98,
295,45.0,60.0,50.22,
296,45.0,57.0,50.76,
297,45.0,64.0,50.32,
298,43.0,61.0,50.76,
299,45.0,57.0,50.62,
300,43.0,63.0,50.0,
301,45.0,58.0,50.88,
302,45.0,59.0,49.7,
303,45.0,60.0,51.02,
304,45.0,59.0,49.74,
305,44.0,57.0,49.98,
306,44.0,58.0,49.88,
307,45.0,56.0,49.9,
308,44.0,60.0,49.84,
309,43.0,56.0,49.5,
310,45.0,58.0,49.64,
311,43.0,62.0,50.5,
312,43.0,64.0,50.56,
313,44.0,55.0,50.12,
314,43.0,55.0,49.84,
315,43.0,58.0,48.82,
316,44.0,57.0,49.22,
317,45.0,55.0,49.48,
318,43.0,56.0,48.92,
319,44.0,57.0,49.24,
320,43.0,62.0,49.68,
321,45.0,56.0,50.06,
322,43.0,55.0,49.18,
323,44.0,59.0,49.62,
324,44.0,58.0,49.88,
325,44.0,58.0,50.26,
326,43.0,57.0,49.0,
327,43.0,56.0,49.08,
328,43.0,58.0,48.92,
329,45.0,58.0,49.6,
330,43.0,59.0,49.58,
331,44.0,54.0,48.62,
332,43.0,57.0,49.14,
333,44.0,58.0,49.24,
334,43.0,56.0,49.26,
335,45.0,55.0,49.32,
336,43.0,59.0,49.24,
337,43.0,58.0,48.84,
338,43.0,55.0,48.62,
339,43.0,58.0,48.98,
340,43.0,59.0,48.72,
341,43.0,57.0,49.22,
342,43.0,59.0,49.04,
343,43.0,61.0,49.14,
344,44.0,58.0,48.76,
345,44.0,56.0,49.02,
346,43.0,57.0,48.46,
347,43.0,58.0,49.34,
348,44.0,56.0,48.98,
349,44.0,58.0,48.88,
350,44.0,59.0,48.54,
351,44.0,58.0,48.7,
352,43.0,59.0,48.94,
353,43.0,55.0,48.1,
354,44.0,59.0,48.52,
355,44.0,55.0,48.46,
356,45.0,57.0,48.36,
357,44.0,56.0,48.92,
358,43.0,59.0,48.52,
359,43.0,60.0,48.14,
360,43.0,63.0,49.06,
361,44.0,54.0,48.14,
362,44.0,59.0,48.64,
363,43.0,58.0,48.26,
364,44.0,56.0,47.88,
365,43.0,58.0,48.6,
366,43.0,55.0,48.24,
367,43.0,55.0,47.74,
368,44.0,53.0,48.16,
369,43.0,54.0,48.44,
370,43.0,57.0,48.34,
371,43.0,53.0,47.42,
372,43.0,63.0,48.02,
373,43.0,61.0,47.78,
374,43.0,54.0,47.5,
375,43.0,56.0,48.02,
376,43.0,55.0,47.94,
377,43.0,61.0,47.94,
378,43.0,55.0,47.96,
379,44.0,58.0,48.24,
380,43.0,56.0,48.16,
381,43.0,57.0,47.7,
382,43.0,52.0,47.3,
383,43.0,61.0,49.0,
384,43.0,55.0,48.04,
385,43.0,59.0,48.04,
386,43.0,56.0,47.54,
387,43.0,56.0,47.82,
388,43.0,56.0,47.2,
389,44.0,57.0,48.06,
390,43.0,57.0,47.06,
391,43.0,56.0,47.76,
392,43.0,56.0,47.44,
393,43.0,54.0,47.46,
394,43.0,58.0,47.3,
395,43.0,54.0,47.08,
396,43.0,55.0,46.98,
397,43.0,55.0,47.48,
398,43.0,54.0,47.66,
399,43.0,56.0,46.98,
