Machine = 5,Job = 5,Task = 12,Ant = 50,
Sedai , Best ,, Bad , Average 
137 , 41.0 , 58.0 , 48.6 , 
138 , 41.0 , 58.0 , 49.6 , 
139 , 43.0 , 63.0 , 50.3 , 
140 , 43.0 , 56.0 , 49.12 , 
141 , 41.0 , 60.0 , 49.18 , 
142 , 41.0 , 64.0 , 48.9 , 
143 , 41.0 , 59.0 , 49.26 , 
144 , 42.0 , 58.0 , 49.98 , 
145 , 40.0 , 55.0 , 48.96 , 
146 , 41.0 , 61.0 , 50.02 , 
147 , 41.0 , 57.0 , 48.52 , 
148 , 43.0 , 61.0 , 49.38 , 
149 , 38.0 , 60.0 , 48.72 , 
150 , 40.0 , 58.0 , 48.82 , 
151 , 42.0 , 63.0 , 49.1 , 
152 , 42.0 , 57.0 , 48.38 , 
153 , 41.0 , 65.0 , 49.84 , 
154 , 41.0 , 55.0 , 48.04 , 
155 , 41.0 , 56.0 , 48.8 , 
156 , 42.0 , 58.0 , 49.34 , 
157 , 40.0 , 58.0 , 48.6 , 
158 , 41.0 , 62.0 , 49.14 , 
159 , 41.0 , 58.0 , 48.78 , 
160 , 41.0 , 56.0 , 48.32 , 
161 , 40.0 , 55.0 , 47.44 , 
162 , 39.0 , 58.0 , 48.68 , 
163 , 42.0 , 59.0 , 49.08 , 
164 , 42.0 , 56.0 , 49.22 , 
165 , 41.0 , 58.0 , 48.08 , 
166 , 40.0 , 60.0 , 47.2 , 
167 , 41.0 , 56.0 , 48.26 , 
168 , 40.0 , 57.0 , 47.62 , 
169 , 42.0 , 60.0 , 48.78 , 
170 , 41.0 , 56.0 , 47.5 , 
171 , 41.0 , 58.0 , 47.66 , 
172 , 41.0 , 57.0 , 46.86 , 
173 , 41.0 , 55.0 , 47.4 , 
174 , 40.0 , 57.0 , 47.78 , 
175 , 39.0 , 58.0 , 47.52 , 
176 , 40.0 , 58.0 , 47.52 , 
177 , 40.0 , 58.0 , 48.3 , 
178 , 40.0 , 60.0 , 47.64 , 
179 , 38.0 , 53.0 , 46.94 , 
180 , 38.0 , 58.0 , 47.0 , 
181 , 42.0 , 57.0 , 48.24 , 
182 , 41.0 , 59.0 , 48.44 , 
183 , 40.0 , 58.0 , 48.12 , 
184 , 40.0 , 58.0 , 47.84 , 
185 , 41.0 , 58.0 , 47.74 , 
186 , 40.0 , 58.0 , 47.48 , 
187 , 38.0 , 55.0 , 47.48 , 
188 , 38.0 , 55.0 , 47.12 , 
189 , 39.0 , 55.0 , 47.58 , 
190 , 41.0 , 55.0 , 47.2 , 
191 , 38.0 , 56.0 , 47.92 , 
192 , 39.0 , 57.0 , 47.02 , 
193 , 40.0 , 55.0 , 47.44 , 
194 , 40.0 , 56.0 , 48.06 , 
195 , 39.0 , 55.0 , 47.82 , 
196 , 41.0 , 57.0 , 47.6 , 
197 , 40.0 , 55.0 , 47.56 , 
198 , 38.0 , 56.0 , 47.48 , 
199 , 42.0 , 59.0 , 48.18 , 
200 , 40.0 , 56.0 , 47.44 , 
201 , 41.0 , 57.0 , 46.48 , 
202 , 38.0 , 53.0 , 46.24 , 
203 , 41.0 , 52.0 , 46.46 , 
204 , 39.0 , 57.0 , 48.24 , 
205 , 39.0 , 53.0 , 45.68 , 
206 , 39.0 , 54.0 , 46.28 , 
207 , 38.0 , 59.0 , 47.98 , 
208 , 39.0 , 53.0 , 46.44 , 
209 , 39.0 , 60.0 , 47.02 , 
210 , 40.0 , 56.0 , 47.48 , 
211 , 40.0 , 53.0 , 45.94 , 
212 , 40.0 , 56.0 , 46.46 , 
213 , 40.0 , 58.0 , 47.46 , 
214 , 39.0 , 56.0 , 47.12 , 
215 , 38.0 , 55.0 , 46.04 , 
216 , 40.0 , 54.0 , 47.14 , 
217 , 39.0 , 57.0 , 45.58 , 
218 , 39.0 , 62.0 , 46.12 , 
219 , 41.0 , 54.0 , 46.18 , 
220 , 41.0 , 54.0 , 46.74 , 
221 , 39.0 , 53.0 , 45.06 , 
222 , 39.0 , 51.0 , 44.54 , 
223 , 38.0 , 55.0 , 44.96 , 
224 , 40.0 , 56.0 , 45.14 , 
225 , 40.0 , 53.0 , 45.74 , 
226 , 38.0 , 54.0 , 45.18 , 
227 , 38.0 , 55.0 , 45.92 , 
228 , 39.0 , 57.0 , 45.26 , 
229 , 38.0 , 53.0 , 45.16 , 
230 , 39.0 , 57.0 , 46.04 , 
231 , 38.0 , 59.0 , 45.1 , 
232 , 39.0 , 53.0 , 44.74 , 
233 , 39.0 , 52.0 , 44.22 , 
234 , 38.0 , 53.0 , 45.16 , 
235 , 39.0 , 53.0 , 45.22 , 
236 , 38.0 , 53.0 , 45.64 , 
237 , 39.0 , 57.0 , 45.02 , 
238 , 38.0 , 52.0 , 44.48 , 
239 , 38.0 , 49.0 , 43.7 , 
240 , 38.0 , 54.0 , 44.24 , 
241 , 39.0 , 53.0 , 44.98 , 
242 , 38.0 , 52.0 , 44.48 , 
243 , 40.0 , 52.0 , 44.88 , 
244 , 38.0 , 49.0 , 44.6 , 
245 , 40.0 , 52.0 , 44.96 , 
246 , 40.0 , 53.0 , 45.26 , 
247 , 38.0 , 54.0 , 44.18 , 
248 , 38.0 , 54.0 , 45.12 , 
249 , 38.0 , 55.0 , 44.52 , 
250 , 39.0 , 54.0 , 44.96 , 
251 , 38.0 , 60.0 , 45.04 , 
252 , 39.0 , 51.0 , 45.24 , 
253 , 38.0 , 53.0 , 44.52 , 
254 , 39.0 , 52.0 , 44.14 , 
255 , 39.0 , 52.0 , 44.68 , 
256 , 38.0 , 60.0 , 44.84 , 
257 , 38.0 , 51.0 , 44.18 , 
258 , 39.0 , 55.0 , 44.58 , 
259 , 38.0 , 51.0 , 44.22 , 
260 , 38.0 , 50.0 , 43.76 , 
261 , 38.0 , 50.0 , 43.72 , 
262 , 38.0 , 52.0 , 44.78 , 
263 , 39.0 , 51.0 , 44.48 , 
264 , 38.0 , 52.0 , 44.14 , 
265 , 38.0 , 48.0 , 43.32 , 
266 , 39.0 , 53.0 , 44.52 , 
267 , 38.0 , 53.0 , 44.22 , 
268 , 39.0 , 50.0 , 43.38 , 
269 , 38.0 , 49.0 , 43.3 , 
270 , 38.0 , 52.0 , 44.38 , 
271 , 38.0 , 53.0 , 43.56 , 
272 , 38.0 , 58.0 , 44.84 , 
273 , 38.0 , 49.0 , 43.18 , 
274 , 38.0 , 49.0 , 43.08 , 
275 , 38.0 , 51.0 , 43.22 , 
276 , 39.0 , 52.0 , 43.96 , 
277 , 38.0 , 51.0 , 42.9 , 
278 , 39.0 , 52.0 , 43.38 , 
279 , 38.0 , 49.0 , 43.46 , 
280 , 38.0 , 52.0 , 44.5 , 
281 , 38.0 , 49.0 , 43.78 , 
282 , 38.0 , 49.0 , 43.48 , 
283 , 39.0 , 52.0 , 44.18 , 
284 , 38.0 , 51.0 , 43.26 , 
285 , 38.0 , 51.0 , 43.8 , 
286 , 38.0 , 53.0 , 43.26 , 
287 , 38.0 , 52.0 , 43.16 , 
288 , 39.0 , 48.0 , 42.8 , 
289 , 39.0 , 50.0 , 43.6 , 
290 , 38.0 , 55.0 , 43.18 , 
291 , 38.0 , 51.0 , 43.16 , 
292 , 38.0 , 50.0 , 43.74 , 
293 , 38.0 , 51.0 , 43.34 , 
294 , 38.0 , 53.0 , 43.52 , 
295 , 38.0 , 51.0 , 42.8 , 
296 , 38.0 , 56.0 , 43.52 , 
297 , 38.0 , 53.0 , 43.42 , 
298 , 38.0 , 51.0 , 42.66 , 
299 , 38.0 , 49.0 , 43.1 , 
300 , 38.0 , 52.0 , 42.88 , 
301 , 38.0 , 51.0 , 43.48 , 
302 , 38.0 , 51.0 , 43.06 , 
303 , 38.0 , 52.0 , 43.6 , 
304 , 38.0 , 50.0 , 43.5 , 
305 , 38.0 , 53.0 , 43.68 , 
306 , 38.0 , 51.0 , 43.16 , 
307 , 39.0 , 50.0 , 43.62 , 
308 , 38.0 , 49.0 , 42.82 , 
309 , 39.0 , 50.0 , 43.82 , 
310 , 38.0 , 49.0 , 43.32 , 
311 , 38.0 , 54.0 , 43.42 , 
312 , 38.0 , 58.0 , 42.84 , 
313 , 38.0 , 52.0 , 43.02 , 
314 , 38.0 , 49.0 , 42.56 , 
315 , 38.0 , 49.0 , 43.68 , 
316 , 38.0 , 51.0 , 42.96 , 
317 , 38.0 , 51.0 , 43.16 , 
318 , 38.0 , 50.0 , 42.84 , 
319 , 38.0 , 48.0 , 43.08 , 
320 , 38.0 , 51.0 , 43.46 , 
321 , 38.0 , 49.0 , 43.06 , 
322 , 38.0 , 49.0 , 43.38 , 
323 , 38.0 , 53.0 , 43.52 , 
324 , 39.0 , 50.0 , 43.48 , 
325 , 38.0 , 52.0 , 43.3 , 
326 , 38.0 , 51.0 , 43.2 , 
327 , 39.0 , 52.0 , 43.72 , 
328 , 38.0 , 49.0 , 42.96 , 
329 , 38.0 , 50.0 , 42.96 , 
330 , 38.0 , 53.0 , 43.14 , 
331 , 38.0 , 50.0 , 42.78 , 
332 , 38.0 , 48.0 , 42.44 , 
333 , 38.0 , 57.0 , 43.46 , 
334 , 38.0 , 52.0 , 43.64 , 
335 , 38.0 , 51.0 , 42.68 , 
336 , 38.0 , 50.0 , 42.76 , 
337 , 38.0 , 50.0 , 42.68 , 
338 , 38.0 , 52.0 , 43.34 , 
339 , 38.0 , 50.0 , 43.54 , 
340 , 38.0 , 50.0 , 42.26 , 
341 , 38.0 , 47.0 , 42.16 , 
342 , 38.0 , 50.0 , 42.78 , 
343 , 38.0 , 51.0 , 42.9 , 
344 , 38.0 , 56.0 , 42.0 , 
345 , 39.0 , 50.0 , 41.92 , 
346 , 38.0 , 54.0 , 42.06 , 
347 , 38.0 , 50.0 , 42.46 , 
348 , 38.0 , 54.0 , 42.62 , 
349 , 38.0 , 49.0 , 42.42 , 
350 , 38.0 , 50.0 , 42.12 , 
351 , 38.0 , 50.0 , 42.42 , 
352 , 38.0 , 49.0 , 43.18 , 
353 , 38.0 , 49.0 , 42.26 , 
