Machine = 6,Job = 8,Task = 18,Ant = 50,
Sedai , Best ,, Bad , Average 
137 , 60.0 , 81.0 , 69.38 , 
138 , 62.0 , 80.0 , 70.04 , 
139 , 60.0 , 80.0 , 70.44 , 
140 , 60.0 , 85.0 , 68.52 , 
141 , 58.0 , 81.0 , 70.4 , 
142 , 59.0 , 87.0 , 68.68 , 
143 , 59.0 , 76.0 , 68.7 , 
144 , 58.0 , 86.0 , 67.92 , 
145 , 58.0 , 82.0 , 68.54 , 
146 , 62.0 , 81.0 , 69.08 , 
147 , 61.0 , 80.0 , 68.34 , 
148 , 57.0 , 80.0 , 68.3 , 
149 , 60.0 , 80.0 , 69.62 , 
150 , 57.0 , 79.0 , 68.66 , 
151 , 60.0 , 76.0 , 69.34 , 
152 , 60.0 , 86.0 , 68.98 , 
153 , 60.0 , 80.0 , 68.4 , 
154 , 62.0 , 81.0 , 70.26 , 
155 , 59.0 , 86.0 , 69.72 , 
156 , 60.0 , 83.0 , 68.42 , 
157 , 57.0 , 83.0 , 69.08 , 
158 , 59.0 , 90.0 , 68.54 , 
159 , 59.0 , 80.0 , 69.36 , 
160 , 60.0 , 78.0 , 69.26 , 
161 , 60.0 , 82.0 , 69.96 , 
162 , 56.0 , 82.0 , 68.38 , 
163 , 61.0 , 81.0 , 68.5 , 
164 , 60.0 , 81.0 , 68.04 , 
165 , 59.0 , 84.0 , 68.82 , 
166 , 59.0 , 79.0 , 68.42 , 
167 , 57.0 , 82.0 , 68.38 , 
168 , 61.0 , 79.0 , 68.86 , 
169 , 60.0 , 88.0 , 69.36 , 
170 , 59.0 , 79.0 , 68.56 , 
171 , 58.0 , 80.0 , 67.82 , 
172 , 60.0 , 77.0 , 67.94 , 
173 , 62.0 , 83.0 , 69.78 , 
174 , 60.0 , 80.0 , 68.28 , 
175 , 60.0 , 77.0 , 68.28 , 
176 , 57.0 , 81.0 , 69.08 , 
177 , 61.0 , 78.0 , 69.88 , 
178 , 56.0 , 81.0 , 68.84 , 
179 , 59.0 , 78.0 , 68.4 , 
180 , 60.0 , 81.0 , 68.64 , 
181 , 59.0 , 81.0 , 68.54 , 
182 , 56.0 , 80.0 , 69.08 , 
183 , 60.0 , 79.0 , 68.74 , 
184 , 58.0 , 76.0 , 66.94 , 
185 , 58.0 , 80.0 , 67.18 , 
186 , 58.0 , 80.0 , 67.24 , 
187 , 58.0 , 86.0 , 67.94 , 
188 , 59.0 , 79.0 , 68.46 , 
189 , 59.0 , 81.0 , 68.48 , 
190 , 60.0 , 82.0 , 68.56 , 
191 , 58.0 , 85.0 , 69.0 , 
192 , 56.0 , 80.0 , 68.04 , 
193 , 58.0 , 78.0 , 66.74 , 
