Machine = 6,Job = 8,Task = 18,Ant = 50,
Sedai , Best ,, Bad , Average 
0 , 91.0 , 140.0 , 115.3 , 
1 , 92.0 , 133.0 , 110.28 , 
2 , 88.0 , 137.0 , 110.72 , 
3 , 92.0 , 128.0 , 110.1 , 
4 , 86.0 , 124.0 , 107.04 , 
5 , 84.0 , 129.0 , 109.18 , 
6 , 82.0 , 131.0 , 108.52 , 
7 , 84.0 , 121.0 , 105.48 , 
8 , 87.0 , 127.0 , 102.44 , 
9 , 86.0 , 119.0 , 101.78 , 
10 , 80.0 , 120.0 , 97.7 , 
11 , 81.0 , 120.0 , 96.76 , 
12 , 82.0 , 109.0 , 94.74 , 
13 , 74.0 , 104.0 , 92.74 , 
14 , 77.0 , 109.0 , 93.0 , 
15 , 75.0 , 112.0 , 90.04 , 
16 , 73.0 , 109.0 , 89.02 , 
17 , 73.0 , 106.0 , 88.08 , 
18 , 77.0 , 101.0 , 86.74 , 
19 , 72.0 , 102.0 , 87.36 , 
20 , 74.0 , 103.0 , 87.14 , 
21 , 70.0 , 108.0 , 87.14 , 
22 , 73.0 , 100.0 , 84.86 , 
23 , 67.0 , 101.0 , 84.42 , 
24 , 71.0 , 96.0 , 82.02 , 
25 , 70.0 , 105.0 , 84.42 , 
26 , 71.0 , 101.0 , 83.96 , 
27 , 70.0 , 104.0 , 82.44 , 
28 , 64.0 , 97.0 , 81.84 , 
29 , 72.0 , 97.0 , 81.28 , 
30 , 73.0 , 94.0 , 81.88 , 
31 , 66.0 , 91.0 , 81.96 , 
32 , 67.0 , 91.0 , 81.14 , 
33 , 68.0 , 98.0 , 81.1 , 
34 , 67.0 , 93.0 , 80.02 , 
35 , 69.0 , 93.0 , 79.62 , 
36 , 67.0 , 98.0 , 79.44 , 
37 , 64.0 , 91.0 , 78.8 , 
38 , 69.0 , 89.0 , 80.28 , 
39 , 68.0 , 91.0 , 79.16 , 
40 , 69.0 , 91.0 , 79.24 , 
41 , 70.0 , 91.0 , 79.12 , 
42 , 69.0 , 90.0 , 80.14 , 
43 , 69.0 , 93.0 , 79.74 , 
44 , 67.0 , 90.0 , 77.76 , 
45 , 66.0 , 93.0 , 78.1 , 
46 , 64.0 , 100.0 , 80.7 , 
47 , 67.0 , 95.0 , 77.54 , 
48 , 66.0 , 99.0 , 79.06 , 
49 , 69.0 , 99.0 , 78.54 , 
50 , 68.0 , 100.0 , 78.0 , 
51 , 67.0 , 91.0 , 78.08 , 
52 , 65.0 , 91.0 , 76.36 , 
53 , 65.0 , 94.0 , 75.66 , 
54 , 66.0 , 100.0 , 76.46 , 
55 , 68.0 , 91.0 , 76.74 , 
56 , 69.0 , 90.0 , 77.3 , 
57 , 65.0 , 92.0 , 76.84 , 
58 , 64.0 , 90.0 , 76.52 , 
59 , 64.0 , 92.0 , 75.7 , 
60 , 68.0 , 97.0 , 77.88 , 
61 , 63.0 , 88.0 , 75.04 , 
62 , 63.0 , 85.0 , 75.38 , 
63 , 64.0 , 95.0 , 75.0 , 
64 , 65.0 , 91.0 , 76.26 , 
65 , 65.0 , 91.0 , 76.2 , 
66 , 65.0 , 83.0 , 74.64 , 
67 , 64.0 , 88.0 , 77.06 , 
68 , 63.0 , 90.0 , 75.8 , 
69 , 64.0 , 85.0 , 74.04 , 
70 , 63.0 , 90.0 , 76.0 , 
71 , 63.0 , 87.0 , 73.6 , 
72 , 62.0 , 97.0 , 74.7 , 
73 , 64.0 , 89.0 , 74.82 , 
74 , 66.0 , 93.0 , 75.86 , 
75 , 63.0 , 91.0 , 73.42 , 
76 , 62.0 , 86.0 , 75.38 , 
77 , 63.0 , 87.0 , 74.88 , 
78 , 65.0 , 89.0 , 75.02 , 
79 , 65.0 , 85.0 , 73.78 , 
80 , 61.0 , 85.0 , 74.52 , 
81 , 64.0 , 90.0 , 74.3 , 
82 , 61.0 , 85.0 , 72.1 , 
83 , 64.0 , 86.0 , 72.62 , 
84 , 60.0 , 83.0 , 73.02 , 
85 , 63.0 , 87.0 , 74.52 , 
86 , 62.0 , 87.0 , 73.94 , 
87 , 61.0 , 96.0 , 73.66 , 
88 , 62.0 , 88.0 , 73.94 , 
89 , 63.0 , 94.0 , 74.66 , 
90 , 61.0 , 87.0 , 74.4 , 
91 , 64.0 , 87.0 , 73.92 , 
92 , 60.0 , 84.0 , 72.94 , 
93 , 61.0 , 89.0 , 72.6 , 
94 , 64.0 , 81.0 , 72.54 , 
95 , 62.0 , 83.0 , 72.9 , 
96 , 61.0 , 89.0 , 72.68 , 
97 , 63.0 , 87.0 , 73.12 , 
98 , 63.0 , 83.0 , 72.62 , 
99 , 65.0 , 85.0 , 73.02 , 
100 , 64.0 , 84.0 , 72.98 , 
101 , 63.0 , 83.0 , 72.58 , 
102 , 63.0 , 84.0 , 71.58 , 
103 , 64.0 , 85.0 , 73.02 , 
104 , 60.0 , 87.0 , 72.88 , 
105 , 63.0 , 89.0 , 72.8 , 
106 , 62.0 , 88.0 , 72.64 , 
107 , 60.0 , 95.0 , 72.98 , 
108 , 64.0 , 91.0 , 72.4 , 
